sitename,cultivar
MAC Field Scanner Season 4 Range 18 Column 26,PI641817
MAC Field Scanner Season 4 Range 18 Column 27,PI569425
MAC Field Scanner Season 4 Range 18 Column 28,PI569425
MAC Field Scanner Season 4 Range 18 Column 29,PI218112
MAC Field Scanner Season 4 Range 18 Column 30,PI218112
MAC Field Scanner Season 4 Range 19 Column 3,PI524475
MAC Field Scanner Season 4 Range 19 Column 4,PI524475
MAC Field Scanner Season 4 Range 19 Column 5,PI153877
MAC Field Scanner Season 4 Range 19 Column 6,PI153877
MAC Field Scanner Season 4 Range 19 Column 7,PI569455
MAC Field Scanner Season 4 Range 19 Column 8,PI569455
MAC Field Scanner Season 4 Range 19 Column 9,PI585461
MAC Field Scanner Season 4 Range 19 Column 10,PI585461
MAC Field Scanner Season 4 Range 19 Column 11,PI330185
MAC Field Scanner Season 4 Range 19 Column 12,PI330185
MAC Field Scanner Season 4 Range 19 Column 13,PI157035
MAC Field Scanner Season 4 Range 19 Column 14,PI157035
MAC Field Scanner Season 4 Range 19 Column 15,PI329545
MAC Field Scanner Season 4 Range 19 Column 16,PI329545
MAC Field Scanner Season 4 Range 19 Column 17,PI455280
MAC Field Scanner Season 4 Range 19 Column 18,PI455280
MAC Field Scanner Season 4 Range 19 Column 19,PI152730
MAC Field Scanner Season 4 Range 19 Column 20,PI152730
MAC Field Scanner Season 4 Range 19 Column 21,PI452692
MAC Field Scanner Season 4 Range 19 Column 22,PI452692
MAC Field Scanner Season 4 Range 19 Column 23,PI167093
MAC Field Scanner Season 4 Range 19 Column 24,PI167093
MAC Field Scanner Season 4 Range 19 Column 25,PI329310
MAC Field Scanner Season 4 Range 19 Column 26,PI329310
MAC Field Scanner Season 4 Range 19 Column 27,PI563196
MAC Field Scanner Season 4 Range 19 Column 28,PI563196
MAC Field Scanner Season 4 Range 19 Column 29,PI329699
MAC Field Scanner Season 4 Range 19 Column 30,PI329699
MAC Field Scanner Season 4 Range 20 Column 3,PI542718
MAC Field Scanner Season 4 Range 20 Column 4,PI542718
MAC Field Scanner Season 4 Range 20 Column 5,PI656026
MAC Field Scanner Season 4 Range 20 Column 6,PI656026
MAC Field Scanner Season 4 Range 20 Column 7,PI526905
