sitename,cultivar
MAC Field Scanner Season 6 Range 14 Column 3,PI329478
MAC Field Scanner Season 6 Range 14 Column 4,PI533998
MAC Field Scanner Season 6 Range 14 Column 5,PI570106
MAC Field Scanner Season 6 Range 14 Column 6,PI570109
MAC Field Scanner Season 6 Range 14 Column 7,PI641830
MAC Field Scanner Season 6 Range 14 Column 8,PI152965
MAC Field Scanner Season 6 Range 14 Column 9,PI180348
MAC Field Scanner Season 6 Range 14 Column 10,PI535796
MAC Field Scanner Season 6 Range 14 Column 11,PI329326
MAC Field Scanner Season 6 Range 14 Column 12,PI641821
MAC Field Scanner Season 6 Range 14 Column 13,PI526905
MAC Field Scanner Season 6 Range 14 Column 14,PI641807
MAC Field Scanner Season 6 Range 14 Column 15,PI562971
MAC Field Scanner Season 6 Range 14 Column 16,SP1516
MAC Field Scanner Season 6 Range 15 Column 1,SP1516
MAC Field Scanner Season 6 Range 15 Column 2,PI267573
MAC Field Scanner Season 6 Range 15 Column 3,PI570085
MAC Field Scanner Season 6 Range 15 Column 4,PI330803
MAC Field Scanner Season 6 Range 15 Column 5,PI337680
MAC Field Scanner Season 6 Range 15 Column 6,PI563032
MAC Field Scanner Season 6 Range 15 Column 7,PI646251
MAC Field Scanner Season 6 Range 15 Column 8,PI569886
MAC Field Scanner Season 6 Range 15 Column 9,PI569460
MAC Field Scanner Season 6 Range 15 Column 10,PI562991
MAC Field Scanner Season 6 Range 15 Column 11,PI146890
MAC Field Scanner Season 6 Range 15 Column 12,PI152591
MAC Field Scanner Season 6 Range 15 Column 13,PI155885
MAC Field Scanner Season 6 Range 15 Column 14,PI506114
MAC Field Scanner Season 6 Range 15 Column 15,PI330181
MAC Field Scanner Season 6 Range 15 Column 16,SP1516
MAC Field Scanner Season 6 Range 16 Column 1,SP1516
MAC Field Scanner Season 6 Range 16 Column 2,PI145619
MAC Field Scanner Season 6 Range 16 Column 3,PI155516
MAC Field Scanner Season 6 Range 16 Column 4,PI563330
MAC Field Scanner Season 6 Range 16 Column 5,PI329584
MAC Field Scanner Season 6 Range 16 Column 6,PI152862
MAC Field Scanner Season 6 Range 16 Column 7,PI563331
MAC Field Scanner Season 6 Range 16 Column 8,PI330169
MAC Field Scanner Season 6 Range 16 Column 9,PI330196
MAC Field Scanner Season 6 Range 16 Column 10,PI641829
MAC Field Scanner Season 6 Range 16 Column 11,PI505717
MAC Field Scanner Season 6 Range 16 Column 12,PI521280
MAC Field Scanner Season 6 Range 16 Column 13,PI570074
MAC Field Scanner Season 6 Range 16 Column 14,PI563022
MAC Field Scanner Season 6 Range 16 Column 15,PI642998
MAC Field Scanner Season 6 Range 16 Column 16,SP1516
MAC Field Scanner Season 6 Range 17 Column 1,SP1516
MAC Field Scanner Season 6 Range 17 Column 2,PI534165
MAC Field Scanner Season 6 Range 17 Column 3,PI569264
MAC Field Scanner Season 6 Range 17 Column 4,PI52606
MAC Field Scanner Season 6 Range 17 Column 5,PI641825
MAC Field Scanner Season 6 Range 17 Column 6,PI569445
MAC Field Scanner Season 6 Range 17 Column 7,PI641836
MAC Field Scanner Season 6 Range 17 Column 8,PI656015
MAC Field Scanner Season 6 Range 17 Column 9,PI535794
MAC Field Scanner Season 6 Range 17 Column 10,PI217691
MAC Field Scanner Season 6 Range 17 Column 11,PI330807
MAC Field Scanner Season 6 Range 17 Column 12,PI152651
MAC Field Scanner Season 6 Range 17 Column 13,PI561840
MAC Field Scanner Season 6 Range 17 Column 14,PI534120
MAC Field Scanner Season 6 Range 17 Column 15,PI152828
MAC Field Scanner Season 6 Range 17 Column 16,SP1516
MAC Field Scanner Season 6 Range 18 Column 1,SP1516
MAC Field Scanner Season 6 Range 18 Column 2,PI514456
MAC Field Scanner Season 6 Range 18 Column 3,PI297155
MAC Field Scanner Season 6 Range 18 Column 4,PI563338
MAC Field Scanner Season 6 Range 18 Column 5,PI569453
MAC Field Scanner Season 6 Range 18 Column 6,PI570254
MAC Field Scanner Season 6 Range 18 Column 7,PI329864
MAC Field Scanner Season 6 Range 18 Column 8,PI643016
MAC Field Scanner Season 6 Range 18 Column 9,PI586435
MAC Field Scanner Season 6 Range 18 Column 10,PI570096
MAC Field Scanner Season 6 Range 18 Column 11,PI573193
MAC Field Scanner Season 6 Range 18 Column 12,PI156871
MAC Field Scanner Season 6 Range 18 Column 13,PI195754
MAC Field Scanner Season 6 Range 18 Column 14,PI152730
MAC Field Scanner Season 6 Range 18 Column 15,PI585961
MAC Field Scanner Season 6 Range 18 Column 16,SP1516
MAC Field Scanner Season 6 Range 19 Column 1,SP1516
MAC Field Scanner Season 6 Range 19 Column 2,PI655983
MAC Field Scanner Season 6 Range 19 Column 3,PI329511
MAC Field Scanner Season 6 Range 19 Column 4,PI297155
MAC Field Scanner Season 6 Range 19 Column 5,PI455221
MAC Field Scanner Season 6 Range 19 Column 6,PI329545
MAC Field Scanner Season 6 Range 19 Column 7,PI213900
MAC Field Scanner Season 6 Range 19 Column 8,PI154944
MAC Field Scanner Season 6 Range 19 Column 9,PI329510
MAC Field Scanner Season 6 Range 19 Column 10,PI455280
MAC Field Scanner Season 6 Range 19 Column 11,PI651495
MAC Field Scanner Season 6 Range 19 Column 12,PI329333
MAC Field Scanner Season 6 Range 19 Column 13,PI157030
MAC Field Scanner Season 6 Range 19 Column 14,PI570431
MAC Field Scanner Season 6 Range 19 Column 15,PI154844
MAC Field Scanner Season 6 Range 19 Column 16,SP1516
MAC Field Scanner Season 6 Range 20 Column 1,SP1516
MAC Field Scanner Season 6 Range 20 Column 2,PI329501
MAC Field Scanner Season 6 Range 20 Column 3,PI535792
MAC Field Scanner Season 6 Range 20 Column 4,PI535795
MAC Field Scanner Season 6 Range 20 Column 5,PI569443
MAC Field Scanner Season 6 Range 20 Column 6,PI562981
MAC Field Scanner Season 6 Range 20 Column 7,PI641909
MAC Field Scanner Season 6 Range 20 Column 8,PI197542
MAC Field Scanner Season 6 Range 20 Column 9,PI566819
MAC Field Scanner Season 6 Range 20 Column 10,PI570073
MAC Field Scanner Season 6 Range 20 Column 11,PI569421
MAC Field Scanner Season 6 Range 20 Column 12,PI585966
MAC Field Scanner Season 6 Range 20 Column 13,PI656026
MAC Field Scanner Season 6 Range 20 Column 14,PI329506
MAC Field Scanner Season 6 Range 20 Column 15,PI569422
MAC Field Scanner Season 6 Range 20 Column 16,SP1516
MAC Field Scanner Season 6 Range 21 Column 1,SP1516
MAC Field Scanner Season 6 Range 21 Column 2,PI569457
MAC Field Scanner Season 6 Range 21 Column 3,PI154987
MAC Field Scanner Season 6 Range 21 Column 4,PI535785
MAC Field Scanner Season 6 Range 21 Column 5,PI620157
MAC Field Scanner Season 6 Range 21 Column 6,PI452542
MAC Field Scanner Season 6 Range 21 Column 7,PI506122
MAC Field Scanner Season 6 Range 21 Column 8,PI329605
